ID,Teff,logg,Tmag
232630507,3667.0,4.72382,11.4003
178044686,3936.0,4.64479,11.4009
359552479,3586.0,4.69142,11.4014
306951634,3961.0,4.67898,11.403
160619243,3537.0,4.65963,11.4038
34688228,3521.0,4.78181,11.4045
322378533,3600.0,4.7426,11.4058
288508510,3757.0,4.70641,11.407
377027830,3392.0,4.76703,11.407
233088905,3856.0,4.65869,11.4078
116403980,3967.0,4.63287,11.4084
368591185,3622.0,4.73613,11.4099
435680892,3889.0,4.67921,11.4109
288523761,3965.0,4.69189,11.412
441761793,3543.0,4.5966,11.4132
219896231,3570.0,4.74097,11.4168
85596846,3586.0,4.75812,11.418
246943507,3261.0,4.93708,11.4203
240796431,3621.0,4.84237,11.4222
320525520,3500.0,4.78986,11.423
373150314,3674.0,4.68476,11.424
410468784,3996.0,4.60372,11.4258
104310418,3946.0,4.60259,11.4262
1201246763,3993.0,4.75222,11.4272
219881478,3881.0,4.67563,11.4284
83806907,3617.0,4.66539,11.429
387764403,3892.0,4.58707,11.4294
235685587,3966.0,4.6126,11.4331
390892655,3976.0,4.7176,11.4339
470714882,3703.0,4.70522,11.4357
288526515,3711.0,4.71342,11.4391
367160479,3921.0,4.65779,11.4396
199714004,3879.0,4.6176,11.4415
287086972,3837.0,4.67606,11.4426
417262687,3389.0,4.8008,11.4426
250741506,3910.0,4.65764,11.4473
312150094,3285.0,4.94576,11.4479
82391828,3878.46,4.51148,11.4543
381543741,3314.0,4.90228,11.455
428550963,3864.0,4.74097,11.4554
94541786,3313.0,4.71937,11.4571
367453659,3475.0,4.84438,11.4591
373021819,3667.0,4.73481,11.461
194737829,3193.0,4.96683,11.4616
82393481,3957.0,4.7181,11.4628
237097659,3935.0,4.43265,11.4639
359388110,3621.0,4.80515,11.4664
389534897,3399.0,4.88921,11.467
245707346,3617.0,4.62366,11.4685
441803471,3135.0,5.02619,11.4694
116988847,3798.0,4.67451,11.4716
85487896,3488.0,4.81136,11.4734
284441182,3624.0,4.74607,11.4752
101033580,3668.0,4.70961,11.4765
283839900,3592.0,4.7619,11.4776
101302834,3888.0,4.70023,11.48
22901827,3695.0,4.67203,11.4805
302556786,3621.0,4.83695,11.4821
249920376,3566.0,4.75491,11.4836
337834654,3799.0,4.66052,11.4848
433791559,3950.0,4.66523,11.4852
396656306,3381.0,4.86476,11.4861
387877168,3815.0,4.745,11.4865
445406215,3829.0,4.74646,11.49
341839832,3828.0,4.67588,11.4902
233726162,3492.0,4.80669,11.4922
301998091,3530.0,4.70633,11.4932
399587569,3654.0,4.74207,11.4958
237251986,3419.0,4.91334,11.4963
240816063,3573.0,4.73172,11.4988
233532220,3411.0,4.79915,11.4995
85525494,3869.0,4.57261,11.5013
252138327,3756.0,4.64228,11.5018
305436012,3403.0,4.75941,11.5034
177763744,3613.0,4.8119,11.5035
374132173,3958.0,4.61681,11.5052
441734910,3391.0,4.86576,11.5055
320501933,3987.0,4.64924,11.5057
396607112,3608.0,4.83822,11.5066
191764998,3784.0,4.64655,11.507
377036038,3832.0,4.78933,11.5092
250713086,3584.0,4.82419,11.5123
230378620,3933.0,4.67776,11.5141
352278039,3879.0,4.62991,11.5143
247007337,3414.0,4.92619,11.5156
12745687,3572.0,4.78931,11.5169
346596804,3730.0,4.75533,11.5182
470678114,3859.0,4.71028,11.519
52074231,3774.0,4.67844,11.5229
104143563,3360.0,4.84279,11.5231
354701413,3935.0,4.66533,11.5231
427641798,3444.0,4.76478,11.5233
284804420,3928.0,4.59881,11.5233
367090589,3793.0,4.68317,11.5257
458793041,3578.0,4.76375,11.5261
35085220,3873.49,4.49885,11.5277
