TIC_ID,Teff,logg,Tmag,LS_Period,LS_Power,ACF_Period,Final_Period,Flag,Variability,R_score,rotation_reliability
351687221,2989.0,5.00242,13.5827,0.5481,0.042474,0.5833,0.5481,Match,0.050493,3,High
428474827,3379.0,4.89474,13.5832,3.3917,0.004732,,3.3917,LS_only,0.011737,1,Low
251462914,3622.0,4.78168,13.5863,4.4577,0.003401,,4.4577,LS_only,0.005327,1,Low
230113697,3244.0,4.90461,13.587,7.6602,0.001118,,7.6602,LS_only,0.001775,0,Very_Low
265385195,3293.0,4.88557,13.5891,8.4677,0.005477,,8.4677,LS_only,0.012043,1,Low
427470246,3353.0,4.83324,13.5905,10.8568,0.001896,,10.8568,LS_only,0.003157,0,Very_Low
63345936,3161.0,5.00628,13.5908,0.911,0.010875,0.8333,0.911,Match,0.013616,3,High
346931373,3427.0,4.81954,13.5919,10.8673,0.004483,,10.8673,LS_only,0.007227,1,Low
401224707,3474.0,4.83998,13.5929,4.743,0.004391,,4.743,LS_only,0.009535,1,Low
445310203,3252.0,4.91541,13.5938,13.3019,0.003759,,13.3019,LS_only,0.00545,1,Low
219795119,3374.0,4.89934,13.5944,2.2628,0.000585,,2.2628,LS_only,0.001399,0,Very_Low
104148517,3438.0,4.81748,13.5963,3.7703,0.01495,3.8333,3.7703,Match,0.011463,3,High
445478582,3434.0,4.82354,13.5966,1.009,0.000819,,1.009,LS_only,0.00272,0,Very_Low
408094501,2972.0,5.02605,13.6001,5.4061,0.001753,0.8333,5.4061,Match,0.006963,1,Low
229703987,3540.0,4.89299,13.6012,4.4805,0.000727,,4.4805,LS_only,0.001742,0,Very_Low
428416969,3430.0,4.92261,13.6019,4.0962,0.185693,4.1667,4.0962,Match,0.284483,3,High
349978350,3434.0,4.89802,13.6023,9.1685,0.000777,,9.1685,LS_only,0.001741,0,Very_Low
233055641,3472.0,4.90158,13.604,7.8409,0.000434,,7.8409,LS_only,0.00131,0,Very_Low
308532982,3229.0,5.02621,13.6052,4.2323,0.008452,,4.2323,LS_only,0.012922,1,Low
406707371,3346.0,4.86731,13.6053,0.7975,0.025993,0.75,0.7975,Match,0.029794,3,High
444595941,3365.0,4.8112,13.6074,5.9371,0.000939,,5.9371,LS_only,0.002251,0,Very_Low
229586161,3380.0,4.75796,13.6086,6.8319,0.000883,13.25,13.25,Harmonic_Corrected,0.001935,1,Low
229744768,3249.0,5.05524,13.6092,11.8966,0.002935,,11.8966,LS_only,0.005232,1,Low
230387342,3260.0,4.8757,13.6101,1.9274,0.000425,,1.9274,LS_only,0.001278,0,Very_Low
407116932,3444.0,4.86843,13.612,7.0066,0.001237,13.0,13.0,Harmonic_Corrected,0.002648,1,Low
445245751,3464.0,4.85879,13.6121,2.0094,0.007906,,2.0094,LS_only,0.016382,1,Low
441733143,3326.0,4.89404,13.6141,4.3304,0.000505,,4.3304,LS_only,0.001428,0,Very_Low
232607684,2862.0,5.20616,13.6157,4.4577,0.000581,,4.4577,LS_only,0.001529,0,Very_Low
219806427,3311.0,4.93111,13.6159,1.8956,0.003397,1.75,1.8956,Match,0.003634,3,High
82099975,3117.0,5.02511,13.6177,11.8966,0.001304,1.75,11.8966,Match,0.005722,1,Low
351613963,3328.0,4.92516,13.6179,1.2644,0.001735,,1.2644,LS_only,0.004807,0,Very_Low
251725681,3278.0,4.8384,13.6189,11.8605,0.002931,0.8333,11.8605,Match,0.003909,2,Medium
428748800,3471.0,4.97736,13.6197,13.2237,0.003485,1.0,13.2237,Match,0.003742,2,Medium
265387623,3348.0,4.92475,13.6221,2.5334,0.002432,13.1667,2.5334,Match,0.003849,2,Medium
353936253,3289.0,4.94119,13.623,0.9909,0.000557,,0.9909,LS_only,0.001427,0,Very_Low
348519249,3654.0,4.81387,13.6231,4.7315,0.001423,,4.7315,LS_only,0.002939,0,Very_Low
54127687,3288.0,4.88596,13.6245,5.3939,0.001121,,5.3939,LS_only,0.003021,0,Very_Low
301916492,3234.0,5.004,13.6253,6.2775,0.001181,,6.2775,LS_only,0.002361,0,Very_Low
104310422,3273.0,4.84078,13.6259,11.9405,0.006735,,11.9405,LS_only,0.012768,1,Low
269715426,3366.0,4.8611,13.6279,0.9583,0.006355,1.0,0.9583,Match,0.007027,3,High
376402464,3363.0,4.93361,13.6281,2.6208,0.000848,,2.6208,LS_only,0.002107,0,Very_Low
229702647,3411.0,4.88968,13.6299,2.2258,0.000841,,2.2258,LS_only,0.00161,0,Very_Low
292725985,3283.0,4.97702,13.6303,2.5089,0.000783,,2.5089,LS_only,0.002305,0,Very_Low
251811608,3499.0,4.86734,13.6305,9.0397,0.00165,0.5833,9.0397,Match,0.002712,1,Low
237257509,3423.0,4.88447,13.6311,6.213,0.000996,,6.213,LS_only,0.002041,0,Very_Low
395844397,3235.0,4.98978,13.6313,11.9318,0.001379,,11.9318,LS_only,0.002812,0,Very_Low
317394133,3164.0,5.05036,13.6358,0.7868,0.002523,0.75,0.7868,Match,0.003164,3,High
367838069,3223.0,4.88427,13.6359,3.4063,0.000474,,3.4063,LS_only,0.001442,0,Very_Low
233085126,3436.0,4.90447,13.6361,1.725,0.000543,,1.725,LS_only,0.001508,0,Very_Low
399856143,3126.0,5.01159,13.6365,3.7398,0.002177,,3.7398,LS_only,0.003603,0,Very_Low
233059081,3289.0,4.99011,13.6378,1.6694,0.000633,,1.6694,LS_only,0.001405,0,Very_Low
431870038,3077.0,5.02513,13.6386,2.0317,0.00726,2.0,2.0317,Match,0.006284,3,High
384659631,3317.0,4.93864,13.6392,2.8737,0.004467,,2.8737,LS_only,0.010545,1,Low
444769259,3392.0,4.86097,13.64,9.1558,0.0013,,9.1558,LS_only,0.004249,0,Very_Low
450001175,3518.0,4.96186,13.6411,10.8568,0.003149,1.5,10.8568,Match,0.005835,2,Medium
400895841,3231.0,4.91286,13.6417,6.1607,0.001207,,6.1607,LS_only,0.002578,0,Very_Low
256925933,3198.0,4.98506,13.643,4.3458,0.000889,,4.3458,LS_only,0.002267,0,Very_Low
259100107,3163.0,4.95034,13.6433,0.5012,0.005831,1.9167,0.5012,Match,0.011202,2,Medium
104212086,3401.0,4.89096,13.6437,1.3761,0.00093,,1.3761,LS_only,0.002302,0,Very_Low
285227863,3126.0,4.94731,13.6442,1.3464,0.001843,,1.3464,LS_only,0.005351,0,Very_Low
233207425,3242.0,4.90073,13.6444,1.471,0.000623,,1.471,LS_only,0.001534,0,Very_Low
406636656,3357.0,4.91573,13.6465,6.6279,0.00105,,6.6279,LS_only,0.003139,0,Very_Low
444112636,3642.0,4.79654,13.6468,3.8108,0.000961,,3.8108,LS_only,0.002885,0,Very_Low
10969843,3513.0,4.9403,13.6477,6.5888,0.004123,13.25,13.25,Harmonic_Corrected,0.005473,2,Medium
241020339,3208.0,5.00054,13.6483,9.1176,0.002221,,9.1176,LS_only,0.004321,0,Very_Low
103952898,3304.0,4.84476,13.6495,4.7315,0.001185,,4.7315,LS_only,0.002696,0,Very_Low
369242214,3192.0,4.95885,13.6526,6.9802,0.00138,,6.9802,LS_only,0.00329,0,Very_Low
229948495,3576.0,4.7992,13.6538,1.8234,0.000684,,1.8234,LS_only,0.001731,0,Very_Low
219819539,3244.0,4.89059,13.654,4.6505,0.000433,,4.6505,LS_only,0.001286,0,Very_Low
229669796,3567.0,4.89413,13.6542,13.1818,0.001152,,13.1818,LS_only,0.001607,0,Very_Low
229400552,3174.0,5.07023,13.6565,2.6336,0.000736,,2.6336,LS_only,0.001727,0,Very_Low
186811769,3183.0,5.11217,13.6574,2.5015,0.005786,,2.5015,LS_only,0.026204,1,Low
394129545,3281.0,4.88107,13.6591,7.3404,0.000629,,7.3404,LS_only,0.001639,0,Very_Low
367840149,3374.0,4.91583,13.6592,4.4691,0.000791,,4.4691,LS_only,0.001645,0,Very_Low
51960132,3579.0,4.82569,13.6618,1.139,0.014327,1.1667,1.139,Match,0.023577,3,High
390171586,3518.0,4.82225,13.6618,4.5708,0.001102,5.3333,4.5708,Match,0.003365,1,Low
54528947,3297.0,4.88511,13.6619,6.9934,0.001358,,6.9934,LS_only,0.003232,0,Very_Low
331213383,3648.0,4.83206,13.6627,6.5493,0.000684,,6.5493,LS_only,0.00202,0,Very_Low
420545838,3333.0,4.80012,13.6628,11.9663,0.001757,,11.9663,LS_only,0.003406,0,Very_Low
219810111,3288.0,4.89839,13.6637,4.6505,0.000696,,4.6505,LS_only,0.002136,0,Very_Low
401360197,3355.0,4.87526,13.6642,1.327,0.005371,1.3333,1.327,Match,0.005269,3,High
284599951,3070.0,4.87772,13.6644,5.1699,0.007173,0.5833,5.1699,Match,0.012079,2,Medium
441807720,3221.0,5.0134,13.6655,1.3069,0.000916,1.3333,1.3069,Match,0.004182,2,Medium
232611960,3391.0,4.93393,13.6658,0.8877,0.000448,,0.8877,LS_only,0.001499,0,Very_Low
356918522,3284.0,5.00152,13.666,7.8273,0.000889,,7.8273,LS_only,0.001744,0,Very_Low
117171705,3373.0,4.92943,13.667,4.6854,0.001435,13.4167,4.6854,Match,0.002487,1,Low
11335421,3391.0,4.85161,13.6672,0.6222,0.000872,,0.6222,LS_only,0.002872,0,Very_Low
252201611,3437.0,4.82965,13.6674,3.3825,0.000795,,3.3825,LS_only,0.002127,0,Very_Low
165528645,3013.0,5.08235,13.6678,0.5219,0.001544,1.0833,1.0833,Harmonic_Corrected,0.004458,1,Low
233070089,2993.0,5.08413,13.6695,0.6637,0.004804,0.6667,0.6637,Match,0.005253,3,High
233657141,3225.0,4.92605,13.67,0.6538,0.006466,0.6667,0.6538,Match,0.005795,3,High
435263876,3529.0,4.83771,13.6708,6.2647,0.000908,,6.2647,LS_only,0.002234,0,Very_Low
279847600,3470.0,4.78945,13.6712,4.697,0.001375,,4.697,LS_only,0.002815,0,Very_Low
377204773,3275.0,4.87165,13.6718,7.0066,0.004181,0.5833,7.0066,Match,0.00715,2,Medium
390399687,3388.0,4.81892,13.6721,6.1475,0.003,13.0,13.0,Harmonic_Corrected,0.004692,2,Medium
233544878,3352.0,4.90355,13.6722,3.3967,0.001018,,3.3967,LS_only,0.002048,0,Very_Low
279757949,3380.0,4.89833,13.6746,1.0038,0.000597,,1.0038,LS_only,0.001912,0,Very_Low
427325315,3334.0,4.9155,13.6756,0.5514,0.001297,3.9167,0.5514,Match,0.003232,1,Low
198236067,3154.0,4.99317,13.6768,2.6712,0.001123,1.3333,1.3333,Subharmonic_Corrected,0.00743,1,Low
338071955,3331.0,4.93197,13.6781,2.1559,0.000986,,2.1559,LS_only,0.003211,0,Very_Low
251791487,3337.0,4.81547,13.679,13.2468,0.002694,1.0833,13.2468,Match,0.003363,2,Medium
232640967,3344.0,4.95074,13.6799,4.3125,0.001144,,4.3125,LS_only,0.003041,0,Very_Low
374832329,3281.0,4.91341,13.6804,2.224,0.015251,8.75,2.224,Match,0.024249,2,Medium
352114297,3890.0,4.21598,13.6819,5.3939,0.033788,5.4167,5.3939,Match,0.036623,3,High
71749279,3208.0,4.86739,13.6821,3.2078,0.003021,,3.2078,LS_only,0.00487,1,Low
278851581,3270.0,4.97523,13.683,6.5888,0.001838,,6.5888,LS_only,0.004409,0,Very_Low
34781149,2920.0,5.06747,13.685,3.4729,0.001649,1.8333,1.8333,Subharmonic_Corrected,0.006618,1,Low
441806827,3286.0,4.94951,13.6862,3.4714,0.000799,,3.4714,LS_only,0.001754,0,Very_Low
445437944,3220.0,4.91139,13.6864,2.9582,0.020974,2.8333,2.9582,Match,0.017217,3,High
385400770,3329.0,4.88133,13.6877,1.4758,0.007715,1.4167,1.4758,Match,0.011014,3,High
250968551,3516.0,4.81376,13.6899,8.494,0.001548,8.3333,8.494,Match,0.003916,2,Medium
219855366,3278.0,4.9468,13.6901,1.7442,0.000535,,1.7442,LS_only,0.001467,0,Very_Low
354381934,3392.0,4.86242,13.6919,6.9934,0.000868,,6.9934,LS_only,0.001955,0,Very_Low
368500799,3373.0,4.87157,13.6922,2.2805,0.000571,,2.2805,LS_only,0.002073,0,Very_Low
289589302,3209.0,4.95695,13.6942,3.0443,0.002569,,3.0443,LS_only,0.004096,1,Low
467180744,3385.0,4.86552,13.6951,7.3404,0.000744,,7.3404,LS_only,0.00182,0,Very_Low
82981089,3266.0,4.8739,13.6971,1.7485,0.006254,1.6667,1.7485,Match,0.007267,3,High
233496615,3416.0,4.97397,13.6998,11.7761,0.001245,,11.7761,LS_only,0.002041,0,Very_Low
352770254,2828.0,5.18228,13.7009,2.1827,0.036358,6.5,2.1827,Match,0.043351,2,Medium
160602230,3286.0,4.88548,13.7025,0.6166,0.003122,1.3333,1.3333,Harmonic_Corrected,0.019141,2,Medium
302071940,3338.0,4.87715,13.7026,3.19,0.000877,,3.19,LS_only,0.002593,0,Very_Low
470113419,3112.0,5.02603,13.7028,2.0167,0.008921,2.0,2.0167,Match,0.006918,3,High
359591305,3272.0,4.96274,13.7058,4.582,0.001838,,4.582,LS_only,0.004462,0,Very_Low
219803078,3222.0,4.9865,13.706,3.3079,0.000998,,3.3079,LS_only,0.002125,0,Very_Low
233725961,3445.0,4.91239,13.7064,3.4063,0.000752,,3.4063,LS_only,0.001491,0,Very_Low
422708093,3324.0,4.92724,13.7065,11.9748,0.014972,,11.9748,LS_only,0.031591,1,Low
368400992,3214.0,4.99833,13.7085,4.582,0.001288,,4.582,LS_only,0.003626,0,Very_Low
384657422,3466.0,4.95848,13.7094,11.8876,0.002772,0.5833,11.8876,Match,0.004244,2,Medium
461564461,3451.0,5.01991,13.7095,2.5978,0.000869,,2.5978,LS_only,0.002079,0,Very_Low
353988335,3284.0,4.91833,13.7106,2.2258,0.000995,,2.2258,LS_only,0.001997,0,Very_Low
289623804,3568.0,4.88789,13.7133,5.2828,0.000708,,5.2828,LS_only,0.00169,0,Very_Low
252119648,3370.0,4.85158,13.7136,0.8942,0.001224,,0.8942,LS_only,0.004413,0,Very_Low
229472112,3290.0,5.00272,13.7139,6.5094,0.003849,12.5833,12.5833,Harmonic_Corrected,0.005215,2,Medium
283341894,3526.0,4.83205,13.7154,1.3122,0.002294,,1.3122,LS_only,0.00799,1,Low
367070587,3587.0,4.79846,13.7157,4.5484,0.000732,,4.5484,LS_only,0.001764,0,Very_Low
252111800,3427.0,4.83622,13.7162,6.213,0.007177,13.0833,13.0833,Harmonic_Corrected,0.011088,2,Medium
378941805,3487.0,4.82245,13.7183,4.3899,0.004839,13.0833,4.3899,Match,0.008727,2,Medium
366242168,3657.0,4.80729,13.7199,11.9663,0.002238,,11.9663,LS_only,0.004287,0,Very_Low
54124314,3510.0,4.94321,13.7205,0.952,0.000849,,0.952,LS_only,0.002901,0,Very_Low
316738943,3669.0,4.80394,13.7221,13.2803,0.001012,,13.2803,LS_only,0.002454,0,Very_Low
252118091,3179.0,4.9095,13.7259,4.5708,0.045555,,4.5708,LS_only,0.258032,1,Low
376120708,3324.0,4.90826,13.7288,2.9828,0.000746,,2.9828,LS_only,0.002051,0,Very_Low
232614123,3437.0,4.88908,13.7298,2.5592,0.000453,,2.5592,LS_only,0.001445,0,Very_Low
378150685,3293.0,4.92907,13.7299,4.7659,0.003589,,4.7659,LS_only,0.007425,1,Low
245422110,3159.0,4.88045,13.73,3.8108,0.004071,3.8333,3.8108,Match,0.004288,3,High
116005796,3373.0,4.82469,13.7307,3.5593,0.001665,,3.5593,LS_only,0.003886,0,Very_Low
284315021,3272.0,4.82768,13.7321,2.0094,0.020898,2.0833,2.0094,Match,0.019911,3,High
444715871,3345.0,4.85598,13.7331,6.5888,0.003788,13.1667,13.1667,Harmonic_Corrected,0.005917,2,Medium
219802448,3438.0,4.90884,13.7347,0.6561,0.000587,,0.6561,LS_only,0.001763,0,Very_Low
395602605,3193.0,5.05302,13.7348,5.2953,0.001278,,5.2953,LS_only,0.002041,0,Very_Low
367856004,3247.0,5.06876,13.7355,3.6116,0.000837,,3.6116,LS_only,0.002019,0,Very_Low
458977058,3403.0,4.84169,13.7355,0.5142,0.007805,1.4167,0.5142,Match,0.02746,2,Medium
73490229,3307.0,5.02388,13.7372,3.6911,0.001232,0.6667,3.6911,Match,0.002103,1,Low
229767197,3468.0,4.9662,13.7375,5.8475,0.000758,,5.8475,LS_only,0.00182,0,Very_Low
285227857,3223.0,4.97004,13.7379,5.9497,0.001255,,5.9497,LS_only,0.00424,0,Very_Low
232614146,3442.0,4.95242,13.7388,2.9568,0.000499,,2.9568,LS_only,0.001581,0,Very_Low
397279556,3449.0,4.86921,13.7404,6.9536,0.001134,,6.9536,LS_only,0.002725,0,Very_Low
230070232,3157.0,5.03476,13.744,0.8596,0.000772,,0.8596,LS_only,0.001828,0,Very_Low
468297427,3107.0,5.07341,13.7456,6.0811,0.002976,13.25,13.25,Harmonic_Corrected,0.004095,2,Medium
323057249,2880.0,5.19722,13.7486,0.6607,0.000671,,0.6607,LS_only,0.001985,0,Very_Low
230130756,3343.0,4.90577,13.7487,7.6459,0.000976,,7.6459,LS_only,0.001794,0,Very_Low
116405799,3142.0,4.96514,13.7488,4.5259,0.016451,4.1667,4.5259,Match,0.023003,3,High
331613889,3312.0,4.84389,13.749,5.6649,0.005,,5.6649,LS_only,0.011465,1,Low
258955379,3279.0,4.9361,13.7496,1.8063,0.001978,,1.8063,LS_only,0.003238,0,Very_Low
302319007,3431.0,4.85437,13.751,6.5625,0.002034,,6.5625,LS_only,0.003683,0,Very_Low
12557102,3359.0,4.92463,13.7515,3.4729,0.01586,3.3333,3.4729,Match,0.012944,3,High
104028939,3227.0,4.92851,13.7518,6.5625,0.006311,6.1667,6.5625,Match,0.00626,3,High
312339432,3256.0,4.8696,13.7521,0.5871,0.002998,1.0833,1.0833,Harmonic_Corrected,0.00558,2,Medium
229647609,2876.0,5.15987,13.754,11.8876,0.000987,,11.8876,LS_only,0.001922,0,Very_Low
258388931,3315.0,4.95447,13.7563,6.5361,0.001422,,6.5361,LS_only,0.002283,0,Very_Low
219797811,3110.0,4.93689,13.7568,6.1475,0.000538,,6.1475,LS_only,0.001971,0,Very_Low
232636705,3273.0,4.92874,13.7578,8.428,0.00099,,8.428,LS_only,0.002067,0,Very_Low
77632226,3222.0,5.03153,13.759,2.6884,0.000689,,2.6884,LS_only,0.001892,0,Very_Low
198161600,3254.0,4.92298,13.7612,2.7526,0.000726,,2.7526,LS_only,0.002098,0,Very_Low
354383554,3205.0,4.93638,13.7621,7.0066,0.002054,,7.0066,LS_only,0.003769,0,Very_Low
312757946,3344.0,4.89103,13.7621,6.2518,0.002734,11.25,6.2518,Match,0.004197,2,Medium
422984871,3425.0,4.88767,13.7624,6.9802,0.004738,13.1667,13.1667,Harmonic_Corrected,0.00782,2,Medium
359125320,3483.0,4.87287,13.7628,4.582,0.001493,,4.582,LS_only,0.004395,0,Very_Low
233581013,3268.0,5.04943,13.7636,15.0,0.00096,,15.0,LS_only,0.002348,0,Very_Low
388606196,3123.0,5.09024,13.7645,4.4577,0.001086,,4.4577,LS_only,0.002298,0,Very_Low
383553291,3243.0,5.0079,13.7646,7.3404,0.000683,,7.3404,LS_only,0.001833,0,Very_Low
229752332,3392.0,4.96351,13.7666,2.1768,0.001894,,2.1768,LS_only,0.00367,0,Very_Low
288679419,3202.0,5.01129,13.7672,6.2,0.001055,,6.2,LS_only,0.002171,0,Very_Low
377146803,3150.0,4.88418,13.7698,4.2323,0.002724,,4.2323,LS_only,0.014504,1,Low
284718224,3269.0,4.87966,13.7698,11.9577,0.001732,,11.9577,LS_only,0.004385,0,Very_Low
470124628,3156.0,5.04396,13.7711,2.3558,0.00115,,2.3558,LS_only,0.001986,0,Very_Low
359590853,3391.0,4.87818,13.7713,4.2537,0.003919,4.25,4.2537,Match,0.006888,3,High
329351663,3191.0,5.0282,13.7724,2.2837,0.000418,,2.2837,LS_only,0.001453,0,Very_Low
449992895,3264.0,4.92188,13.7752,0.5804,0.021222,1.1667,1.1667,Harmonic_Corrected,0.026911,2,Medium
229748447,3137.0,4.98028,13.7769,4.4805,0.001164,4.5833,4.4805,Match,0.001876,2,Medium
245673216,3178.0,4.92728,13.7777,4.5146,0.004536,,4.5146,LS_only,0.007361,1,Low
331864202,3461.0,4.8874,13.7793,10.8247,0.005297,0.6667,10.8247,Match,0.00625,2,Medium
436842568,3148.0,5.03502,13.78,4.9535,0.004127,,4.9535,LS_only,0.006259,1,Low
46617192,3114.0,5.16086,13.7801,6.9669,0.001864,,6.9669,LS_only,0.004122,0,Very_Low
461407860,3451.0,4.91079,13.7801,4.9535,0.00073,,4.9535,LS_only,0.001977,0,Very_Low
336166366,3267.0,5.03459,13.7808,8.494,0.001322,,8.494,LS_only,0.002788,0,Very_Low
355824390,3204.0,4.96852,13.7818,2.2464,0.000838,,2.2464,LS_only,0.002577,0,Very_Low
10344880,3306.0,4.98555,13.782,2.1827,0.004001,,2.1827,LS_only,0.006955,1,Low
196947528,3369.0,5.06575,13.7854,6.5888,0.002595,,6.5888,LS_only,0.006242,1,Low
256203362,3399.0,4.9455,13.7862,6.6019,0.001722,,6.6019,LS_only,0.002907,0,Very_Low
470680781,3169.0,4.96398,13.7862,1.9335,0.003571,1.9167,1.9335,Match,0.003454,3,High
279354493,3126.0,5.05395,13.7864,0.8003,0.014909,0.8333,0.8003,Match,0.015147,3,High
400196350,3382.0,4.95857,13.7871,1.3984,0.006139,,1.3984,LS_only,0.015776,1,Low
327371432,3355.0,4.9084,13.7874,6.9934,0.006467,0.9167,6.9934,Match,0.009747,2,Medium
441795882,3284.0,4.91876,13.7876,1.3834,0.005728,1.4167,1.3834,Match,0.005877,3,High
434724031,3329.0,4.91341,13.7911,4.243,0.0027,12.9167,4.243,Match,0.005465,2,Medium
251168487,3445.0,4.91338,13.7932,4.5146,0.031635,4.5833,4.5146,Match,0.04038,3,High
240780256,3486.0,4.876,13.7937,4.5596,0.00106,,4.5596,LS_only,0.002685,0,Very_Low
263970449,3187.0,5.02148,13.7938,13.2803,0.002183,13.1667,13.2803,Match,0.002758,2,Medium
316739971,3808.0,4.83383,13.794,0.5219,0.003033,1.5833,0.5219,Match,0.003949,2,Medium
312766930,3387.0,4.88653,13.795,10.8673,0.011462,,10.8673,LS_only,0.019728,1,Low
427549514,3397.0,4.87435,13.7963,6.9934,0.00771,12.9167,12.9167,Harmonic_Corrected,0.011095,2,Medium
353020366,3531.0,4.85149,13.7979,3.4729,0.002097,,3.4729,LS_only,0.005151,0,Very_Low
307596760,3144.0,5.06455,13.7989,4.0329,0.005612,,4.0329,LS_only,0.011853,1,Low
427319894,3391.0,4.89709,13.8005,3.3825,0.000683,,3.3825,LS_only,0.002062,0,Very_Low
279612484,3444.0,4.90039,13.8031,5.9497,0.00105,,5.9497,LS_only,0.002565,0,Very_Low
237215076,3362.0,4.88875,13.8039,6.226,0.000992,,6.226,LS_only,0.002339,0,Very_Low
370061982,3371.0,4.85259,13.8047,4.3899,0.001648,,4.3899,LS_only,0.004006,0,Very_Low
13029647,3310.0,4.86842,13.805,1.3507,0.015853,1.3333,1.3507,Match,0.018851,3,High
237297785,3233.0,4.86454,13.8104,3.5883,0.0027,3.4167,3.5883,Match,0.003135,3,High
378740451,3281.0,5.03932,13.8109,6.9934,0.001158,,6.9934,LS_only,0.0025,0,Very_Low
455968111,3619.0,4.88956,13.8115,1.6461,0.004879,3.25,3.25,Harmonic_Corrected,0.005937,2,Medium
271241950,3225.0,4.96713,13.8115,2.1559,0.011607,4.3333,4.3333,Harmonic_Corrected,0.025885,2,Medium
441728533,3275.0,4.93024,13.8119,3.7945,0.002596,,3.7945,LS_only,0.004259,1,Low
116370391,3339.0,4.98966,13.8137,6.9669,0.002266,13.1667,13.1667,Harmonic_Corrected,0.004411,1,Low
298732529,3869.0,4.69452,13.8156,1.2148,0.000632,,1.2148,LS_only,0.001923,0,Very_Low
